(3077419, 7008, 29587, 126309, 541204, 293655)
(3078105, 6996, 29560, 126147, 541259, 293852)
(3078002, 7037, 29556, 125886, 541722, 293606)
(3077829, 6939, 29568, 126455, 540938, 293873)
(3078316, 6933, 29362, 126502, 541053, 293933)
(3078394, 6978, 29169, 126485, 541457, 293704)
(3078750, 6884, 29545, 125804, 541953, 293657)
(3079775, 6799, 29351, 125478, 542302, 293868)
(3080053, 6759, 29193, 126172, 541419, 294281)
(3079911, 6910, 29171, 125896, 541838, 294063)
(3081295, 6898, 29115, 125418, 541634, 294813)
(3080819, 6907, 29265, 125873, 540600, 295209)
(3079406, 6883, 29474, 125907, 541539, 294075)
(3078330, 6918, 29607, 125986, 542067, 293327)
(3079012, 6829, 29520, 126378, 541418, 293794)
(3079345, 6753, 29552, 126116, 541565, 293905)
(3079583, 6729, 29494, 125907, 541914, 293831)
(3078636, 6684, 29531, 126354, 542178, 293152)
(3078267, 6953, 29314, 126617, 541727, 293317)
(3078689, 6881, 29581, 126545, 540959, 293964)
(3078234, 6923, 29495, 126888, 540833, 293790)
(3078187, 6973, 29752, 126148, 541438, 293630)
(3079500, 6835, 29265, 125926, 542374, 293493)
(3080688, 6848, 29003, 125970, 541458, 294548)
(3080619, 6877, 29228, 125943, 540937, 294875)
(3080631, 6896, 29261, 125548, 541597, 294567)
(3080144, 6830, 29207, 125419, 542549, 293819)
(3081444, 6900, 29137, 125435, 541233, 295131)
(3081308, 6981, 29093, 125592, 541319, 294945)
(3080944, 6964, 29018, 125808, 541522, 294611)
(3080878, 6836, 29321, 125530, 541750, 294488)
(3080499, 6893, 29275, 125534, 542053, 294172)
(3080715, 6850, 29048, 125608, 542467, 293941)
(3079964, 6875, 29165, 125815, 542464, 293617)
(3081038, 6821, 29207, 126245, 540512, 295130)
(3080232, 6876, 29289, 125728, 542021, 294033)
(3080871, 6876, 28972, 126477, 540914, 294726)
(3080199, 6764, 29230, 125986, 541897, 294017)
(3079830, 6769, 29425, 125867, 541975, 293880)
(3079850, 6788, 29279, 126122, 541471, 294191)
(3079779, 6864, 29154, 126017, 542008, 293842)
(3079389, 6880, 29092, 126204, 542180, 293527)
(3080037, 6817, 29084, 126109, 542064, 293819)
